date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:20	9471/9471	---M--	200	added ('OK')	image/jpeg	etag:%223bf6a491c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img6.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img6.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:27	98964/98964	---M--	200	added ('OK')	image/jpeg	etag:%2295b4cb93c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img4-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img4-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:29	11314/11314	---M--	200	added ('OK')	image/jpeg	etag:%22136ec894c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img7.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img7.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:31	98205/98205	---M--	200	added ('OK')	image/jpeg	etag:%22fd7bde96c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img5-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img5-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:32	87563/87563	---M--	200	added ('OK')	image/jpeg	etag:%22a0803593c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img6-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img6-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:36	94843/94843	---M--	200	added ('OK')	image/jpeg	etag:%22ee635592c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img7-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img7-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:38	10517/10517	---M--	200	added ('OK')	image/jpeg	etag:%2246d18697239d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Leadership-Fest-Dec15-1.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Leadership-Fest-Dec15-1.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Leadership%20Fest%20(9%20and%2010%20December%202015))
10:43:41	56143/56143	---M--	200	added ('OK')	image/jpeg	etag:%22bde4497239d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Leadership-Fest-Dec15-1B.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Leadership-Fest-Dec15-1B.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Leadership%20Fest%20(9%20and%2010%20December%202015))
10:43:42	83283/83283	---M--	200	added ('OK')	image/jpeg	etag:%228218a198c946d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img8-Big.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Senior-School-Sports-Day-Dec15-Img8-Big.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Senior%20School%20Sports%20Day%20(16%20December%202015))
10:43:43	12109/12109	---M--	200	added ('OK')	image/jpeg	etag:%22e1f6cb97239d11:0%22	http://www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Leadership-Fest-Dec15-2.jpg	C:/Indus/Indus/www.indusschool.com/InternationalSchool/Bangalore/UploadFiles-Images/ImageGallery/Leadership-Fest-Dec15-2.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Leadership%20Fest%20(9%20and%2010%20December%202015))
10:43:43	78077/78077	---M--	200	added ('OK')	image/jpeg	etag:%223c64ce30c1dacc1:0%22	http://www.indusschool.com/images/homePage/HomePage22.jpg	C:/Indus/Indus/www.indusschool.com/images/homePage/HomePage22.jpg	(from http://www.indusschool.com/InternationalSchool/Bangalore/New_Photo_Gallery.aspx?Cat=Leadership%20Fest%20(9%20and%2010%20December%202015))
